Microsoft,https://www.microsoft.com,1000000.5,1975,soporte@microsoft.com,www.twitter.com/microsoft,https://www.facebook.com/microsoft
IBM,www.ibm.com,20000000,1911,soporte@ibm.com,https://www.twitter.com/ibm,https://www.facebook.com/ibm
Ycombinator,www.ycombinator.com,500000.2,2005,soporte@ycombinator.com,https://www.twitter.com/ycombinator,https://www.facebook.com/ycombinator
Apple,https://www.Apple.com,14216,1995,soporte@Apple.com,https://www.twitter.com/Apple,https://www.facebook.com/Apple
Atlalasian,https://www.Atlalasian.com,24932,1983,soporte@Atlalasian.com,https://www.twitter.com/Atlalasian,https://www.facebook.com/Atlalasian
Google,https://www.Google.com,31239,1983,soporte@Google.com,https://www.twitter.com/Google,https://www.facebook.com/Google
53,https://www.53.com,43003,2006,soporte@53.com,https://www.twitter.com/53,https://www.facebook.com/53
Slack,https://www.Slack.com,17396,1989,soporte@Slack.com,https://www.twitter.com/Slack,https://www.facebook.com/Slack
Oracle,https://www.Oracle.com,43904,1982,soporte@Oracle.com,https://www.twitter.com/Oracle,https://www.facebook.com/Oracle
Sublime,https://www.Sublime.com,31381,1990,soporte@Sublime.com,https://www.twitter.com/Sublime,https://www.facebook.com/Sublime
Activision,https://www.Activision.com,16367,1993,soporte@Activision.com,https://www.twitter.com/Activision,https://www.facebook.com/Activision
Sony,https://www.Sony.com,21466,2003,soporte@Sony.com,https://www.twitter.com/Sony,https://www.facebook.com/Sony
Ubuntu,https://www.Ubuntu.com,42614,1980,soporte@Ubuntu.com,https://www.twitter.com/Ubuntu,https://www.facebook.com/Ubuntu
Autodesk,https://www.Autodesk.com,12172,1978,soporte@Autodesk.com,https://www.twitter.com/Autodesk,https://www.facebook.com/Autodesk
Adobe,https://www.Adobe.com,14774,1987,soporte@Adobe.com,https://www.twitter.com/Adobe,https://www.facebook.com/Adobe
Ironhide,https://www.Ironhide.com,26394,2011,soporte@Ironhide.com,https://www.twitter.com/Ironhide,https://www.facebook.com/Ironhide
Spotify,https://www.Spotify.com,29576,2001,soporte@Spotify.com,https://www.twitter.com/Spotify,https://www.facebook.com/Spotify
Uber,https://www.Uber.com,21714,2006,soporte@Uber.com,https://www.twitter.com/Uber,https://www.facebook.com/Uber
Lift,https://www.Lift.com,10548,2014,soporte@Lift.com,https://www.twitter.com/Lift,https://www.facebook.com/Lift
Yellow,https://www.Yellow.com,47596,2005,soporte@Yellow.com,https://www.twitter.com/Yellow,https://www.facebook.com/Yellow
1Cycle,https://www.1Cycle.com,15438,1999,soporte@1Cycle.com,https://www.twitter.com/1Cycle,https://www.facebook.com/1Cycle
Affinity,https://www.Affinity.com,33025,1988,soporte@Affinity.com,https://www.twitter.com/Affinity,https://www.facebook.com/Affinity
IA,https://www.IA.com,28053,1986,soporte@IA.com,https://www.twitter.com/IA,https://www.facebook.com/IA
Docker,https://www.Docker.com,26116,2004,soporte@Docker.com,https://www.twitter.com/Docker,https://www.facebook.com/Docker
Mysql,https://www.Mysql.com,14672,1976,soporte@Mysql.com,https://www.twitter.com/Mysql,https://www.facebook.com/Mysql
Anypoint,https://www.Anypoint.com,45533,2009,soporte@Anypoint.com,https://www.twitter.com/Anypoint,https://www.facebook.com/Anypoint
Parallels,https://www.Parallels.com,40624,2006,soporte@Parallels.com,https://www.twitter.com/Parallels,https://www.facebook.com/Parallels
VMWare,https://www.VMWare.com,23478,2012,soporte@VMWare.com,https://www.twitter.com/VMWare,https://www.facebook.com/VMWare
Unity,https://www.Unity.com,21472,1976,soporte@Unity.com,https://www.twitter.com/Unity,https://www.facebook.com/Unity
Unreal,https://www.Unreal.com,30980,2001,soporte@Unreal.com,https://www.twitter.com/Unreal,https://www.facebook.com/Unreal
XYGames,https://www.XYGames.com,33656,2014,soporte@XYGames.com,https://www.twitter.com/XYGames,https://www.facebook.com/XYGames
Crytech,https://www.Crytech.com,45097,2004,soporte@Crytech.com,https://www.twitter.com/Crytech,https://www.facebook.com/Crytech
Cocos,https://www.Cocos.com,25884,1985,soporte@Cocos.com,https://www.twitter.com/Cocos,https://www.facebook.com/Cocos
Dice,https://www.Dice.com,48815,1984,soporte@Dice.com,https://www.twitter.com/Dice,https://www.facebook.com/Dice
Valve,https://www.Valve.com,29734,2013,soporte@Valve.com,https://www.twitter.com/Valve,https://www.facebook.com/Valve
